objectives;is_feasible;variables;evaluation_time
[3.4745369040000003, -2.4999999999991647];True;[3.645915555362409, 2.2666401770660274, -4.333200463677728, -0.6280417042547839, -1.081312190137662, 4.20835586584348, -3.8158497591177754, -2.838528795823075, -0.38273616386690534, -3.3830380098154498];166.39032320003025
[3.6403983360000085, -2.3833323];True;[2.35951959290478, -0.1076262188231869, -1.8259303868233436, -1.088100596226921, 0.7138795144171359, 3.372402105864454, -1.7375143099151424, 2.6798348976966944, -4.99551681752583, 1.9660479418724766];164.13420229998883
[3.6979325280000057, -2.41704477];True;[4.934222512160865, -1.5792843584182084, -0.7292908184273026, -0.7171582851918199, 1.913314958292906, 2.668445036190339, -0.8112110433901094, -0.1826464050064498, -2.6419531813948085, 1.1461453964429245];153.11430429993197
[3.395748312000013, -2.4999999999998086];True;[1.2877258819484965, -1.1280255580285625, 1.557155423273783, -3.839830219977202, -0.7017174162656117, 3.6298513372452526, 0.35722592510095197, -4.075996901614317, -3.24861402315602, -3.8272064610779912];156.86314540007152
[3.6140964480000095, -2.1498343];True;[3.9028999270111004, 0.24591238602830678, 3.421780517837343, 0.6048963092321777, -3.5771881235884297, 2.084108490586339, -3.7358538696636314, -1.4252209468861974, 1.6302791144582596, -3.032337610729999];155.65712260000873
[3.756844800000006, -1.950172];True;[2.577328382751282, 2.631192083194634, 2.133580204135055, 4.169989869556884, 2.480886407881476, -1.5837743849290806, -2.182933335350128, -3.3860982773292045, 2.1732938587298003, -2.2854904260387565];163.815103800036
[3.7196087760000136, -2.45394661];True;[-0.2921984468357337, 0.9584524233777891, 0.20927938152442138, 1.9757233603389137, 2.7667943531941965, -3.236958044700733, 4.105872684792407, -1.8248420881257332, 3.841149662903401, -3.4991717268443825];155.24945619993377
[4.081294296000001, -2.4999999999995786];True;[0.25490134401661724, 4.713659371853899, 3.522333623402073, 4.773735672189094, 2.1204364975823307, 0.15202031660709903, 2.3989554328621177, 1.8738987310073156, 2.9948976186210876, -1.0559973389929809];135.81417119991966
[3.679299072, -2.499999999999805];True;[-0.42712470584839046, 2.2182403682034257, 0.14036015934343116, 0.9641540635990768, 4.603203838102992, -1.3631165678072676, -1.651797777199886, -3.5498706515550946, -0.06173323355762683, 2.265611826585239];137.67094709991943
[3.6875327760000074, -2.493897243];True;[3.082633598362415, 1.418938810567985, 3.421738656273668, -4.72481262872391, 3.953281804991038, -0.9899950327800022, -0.9329646207351008, 2.4833963514436332, -0.013068643553726389, -4.180042228739484];137.13695080007892
[3.4977106800000017, -2.499999999998079];True;[1.4769187644629111, 0.3984016614298893, -1.4100913486311137, -1.6886602107942283, -0.4652160737596569, -3.3571092087627106, -1.2824171845954813, -3.550940244032202, -0.34806359565684275, 4.958246675756788];136.8576594000915
[3.7107951120000093, -2.3225409];True;[0.7971588250737955, -2.150141849295053, 4.334007596257152, -2.003885508504928, 2.4891597969096164, 4.85108616988307, -3.445507467928185, -1.652132868283526, -2.908400643062424, 4.284725413261738];135.13258450001013
[3.855200400000008, -2.3426066];True;[2.8015337286646256, 1.190405088032179, 1.9172610420524272, -2.490969623192445, 2.790795409890377, 4.455845537477019, -4.396600256651974, -1.060660631571789, 3.9992656382208, 2.0746141922461367];152.80471019994002
